#{"t_start": 1749386233.312694, "env_id": "CartPole-v1"}
r,l,t
14.0,14,12.701151
31.0,31,12.724562
15.0,15,12.730313
21.0,21,12.748736
30.0,30,12.766729
12.0,12,12.772738
13.0,13,12.782701
18.0,18,12.796484
17.0,17,12.81027
11.0,11,12.81027
14.0,14,12.826733
12.0,12,12.836749
13.0,13,12.84577
12.0,12,12.853798
15.0,15,12.857554
20.0,20,12.881984
17.0,17,12.88951
14.0,14,12.88951
18.0,18,12.905187
21.0,21,12.927027
13.0,13,12.935054
32.0,32,12.952715
25.0,25,12.976304
13.0,13,12.984542
12.0,12,12.997004
10.0,10,13.002516
12.0,12,13.006532
14.0,14,13.024397
17.0,17,13.034507
14.0,14,13.040516
21.0,21,13.048328
24.0,24,13.074127
41.0,41,13.095691
11.0,11,13.095691
20.0,20,13.111652
28.0,28,13.149115
19.0,19,13.16291
18.0,18,13.168673
21.0,21,13.18441
17.0,17,13.204156
27.0,27,13.219961
22.0,22,13.232007
19.0,19,13.247773
13.0,13,13.247773
23.0,23,13.276257
11.0,11,13.280751
10.0,10,13.288764
16.0,16,13.301784
15.0,15,13.311822
12.0,12,13.311822
18.0,18,13.329567
11.0,11,13.329567
9.0,9,13.343267
13.0,13,13.343267
17.0,17,13.365145
17.0,17,13.376905
21.0,21,13.388401
24.0,24,13.402181
9.0,9,13.407942
16.0,16,13.421842
12.0,12,13.427862
28.0,28,13.439641
12.0,12,13.453596
11.0,11,13.453596
18.0,18,13.475846
10.0,10,13.479592
17.0,17,13.485339
14.0,14,13.501456
12.0,12,13.51354
10.0,10,13.517285
15.0,15,13.53021
12.0,12,13.542886
13.0,13,13.552908
12.0,12,13.560931
11.0,11,13.569253
15.0,15,13.584479
17.0,17,13.596936
26.0,26,13.612859
14.0,14,13.612859
20.0,20,13.638495
16.0,16,13.651821
10.0,10,13.661885
20.0,20,13.673921
20.0,20,13.693143
16.0,16,13.703173
28.0,28,13.720975
16.0,16,13.73075
14.0,14,13.744722
14.0,14,13.744722
20.0,20,13.764709
18.0,18,13.772719
19.0,19,13.792485
13.0,13,13.800498
22.0,22,13.81207
15.0,15,13.82008
10.0,10,13.82409
17.0,17,13.8438
32.0,32,13.864285
19.0,19,13.87131
19.0,19,13.895003
15.0,15,13.905723
11.0,11,13.907728
20.0,20,13.923065
12.0,12,13.936751
13.0,13,13.940757
42.0,42,13.974142
12.0,12,13.984168
13.0,13,13.99018
16.0,16,13.997965
12.0,12,14.013979
14.0,14,14.013979
22.0,22,14.040054
11.0,11,14.047824
20.0,20,14.057857
10.0,10,14.06568
9.0,9,14.077178
12.0,12,14.083187
21.0,21,14.096958
15.0,15,14.108738
20.0,20,14.123882
13.0,13,14.123882
12.0,12,14.123882
14.0,14,14.139606
16.0,16,14.160619
27.0,27,14.182244
11.0,11,14.192806
14.0,14,14.199114
30.0,30,14.226393
9.0,9,14.232155
10.0,10,14.240176
14.0,14,14.249947
14.0,14,14.26371
15.0,15,14.269718
13.0,13,14.281841
13.0,13,14.287858
20.0,20,14.307418
14.0,14,14.317196
23.0,23,14.325167
16.0,16,14.341074
13.0,13,14.352987
14.0,14,14.362758
20.0,20,14.374537
23.0,23,14.388324
10.0,10,14.404381
16.0,16,14.404381
25.0,25,14.42654
15.0,15,14.436293
9.0,9,14.446151
14.0,14,14.454175
13.0,13,14.456178
56.0,56,14.49985
13.0,13,14.511387
11.0,11,14.519994
9.0,9,14.524006
14.0,14,14.535963
18.0,18,14.546899
13.0,13,14.546899
14.0,14,14.564755
17.0,17,14.572766
33.0,33,14.602455
17.0,17,14.610375
48.0,48,14.642448
20.0,20,14.657569
13.0,13,14.683896
16.0,16,14.683896
33.0,33,14.713189
9.0,9,14.713189
19.0,19,14.730255
24.0,24,14.759614
9.0,9,14.764634
16.0,16,14.772657
14.0,14,14.78562
17.0,17,14.79213
12.0,12,14.79213
15.0,15,14.813852
13.0,13,14.823613
9.0,9,14.823613
10.0,10,14.823613
18.0,18,14.839495
16.0,16,14.86413
12.0,12,14.873147
32.0,32,14.894958
11.0,11,14.900977
19.0,19,14.902726
11.0,11,14.919937
11.0,11,14.935833
10.0,10,14.942457
23.0,23,14.961873
12.0,12,14.96964
36.0,36,14.983398
18.0,18,15.002299
12.0,12,15.014057
14.0,14,15.01556
13.0,13,15.03144
16.0,16,15.03144
12.0,12,15.05539
15.0,15,15.065422
10.0,10,15.069435
23.0,23,15.083214
15.0,15,15.097202
15.0,15,15.10723
20.0,20,15.124204
33.0,33,15.146632
12.0,12,15.158392
11.0,11,15.158392
24.0,24,15.184885
11.0,11,15.189903
19.0,19,15.201709
12.0,12,15.220863
12.0,12,15.230119
22.0,22,15.234138
11.0,11,15.247942
12.0,12,15.247942
11.0,11,15.26373
23.0,23,15.279485
10.0,10,15.279485
14.0,14,15.300291
13.0,13,15.308315
17.0,17,15.311328
44.0,44,15.360619
16.0,16,15.372659
10.0,10,15.381434
17.0,17,15.392472
11.0,11,15.406233
14.0,14,15.406233
11.0,11,15.421881
15.0,15,15.423889
21.0,21,15.447153
15.0,15,15.452912
16.0,16,15.467247
15.0,15,15.477225
10.0,10,15.484869
15.0,15,15.484869
17.0,17,15.500547
15.0,15,15.517859
14.0,14,15.523875
17.0,17,15.542779
10.0,10,15.549791
11.0,11,15.559821
19.0,19,15.574106
9.0,9,15.581876
11.0,11,15.591908
13.0,13,15.595662
20.0,20,15.613766
15.0,15,15.621791
24.0,24,15.635577
18.0,18,15.648748
12.0,12,15.659278
11.0,11,15.665298
25.0,25,15.681615
13.0,13,15.691149
9.0,9,15.701163
12.0,12,15.709075
17.0,17,15.7172
19.0,19,15.732944
17.0,17,15.748996
14.0,14,15.748996
35.0,35,15.780899
9.0,9,15.780899
25.0,25,15.808737
37.0,37,15.832413
9.0,9,15.83842
10.0,10,15.844176
18.0,18,15.86829
15.0,15,15.876066
12.0,12,15.876066
16.0,16,15.892171
22.0,22,15.916725
13.0,13,15.927862
25.0,25,15.939644
13.0,13,15.939644
21.0,21,15.973172
30.0,30,15.994612
18.0,18,16.004779
10.0,10,16.012805
21.0,21,16.01852
20.0,20,16.034331
16.0,16,16.055079
13.0,13,16.06283
14.0,14,16.076863
13.0,13,16.087528
12.0,12,16.097301
16.0,16,16.097301
11.0,11,16.113351
34.0,34,16.129271
19.0,19,16.144955
20.0,20,16.160794
10.0,10,16.160794
21.0,21,16.176773
11.0,11,16.195662
14.0,14,16.205675
17.0,17,16.220318
10.0,10,16.229791
14.0,14,16.234806
33.0,33,16.254653
11.0,11,16.272518
12.0,12,16.28025
20.0,20,16.28025
17.0,17,16.296416
23.0,23,16.312366
23.0,23,16.332255
13.0,13,16.338261
60.0,60,16.376532
22.0,22,16.392479
16.0,16,16.392479
9.0,9,16.408599
18.0,18,16.408599
11.0,11,16.424389
12.0,12,16.441119
18.0,18,16.456448
14.0,14,16.465099
20.0,20,16.480214
16.0,16,16.488414
14.0,14,16.488414
22.0,22,16.514106
15.0,15,16.523725
15.0,15,16.538793
11.0,11,16.538793
11.0,11,16.550751
13.0,13,16.567159
15.0,15,16.571169
23.0,23,16.594428
13.0,13,16.602196
21.0,21,16.614026
23.0,23,16.630044
17.0,17,16.630044
16.0,16,16.645703
12.0,12,16.66169
13.0,13,16.66169
18.0,18,16.677682
11.0,11,16.677682
13.0,13,16.704399
11.0,11,16.709421
9.0,9,16.709421
13.0,13,16.725505
13.0,13,16.725505
12.0,12,16.749185
31.0,31,16.768618
19.0,19,16.768618
15.0,15,16.797285
12.0,12,16.804412
11.0,11,16.816061
13.0,13,16.824091
13.0,13,16.832003
16.0,16,16.832003
12.0,12,16.847903
14.0,14,16.865174
19.0,19,16.883154
22.0,22,16.897797
19.0,19,16.909838
14.0,14,16.916864
12.0,12,16.926893
39.0,39,16.942646
25.0,25,16.972844
12.0,12,16.974592
24.0,24,16.990315
16.0,16,17.0064
25.0,25,17.026846
14.0,14,17.036859
18.0,18,17.05375
11.0,11,17.059099
21.0,21,17.073118
24.0,24,17.087001
15.0,15,17.100504
13.0,13,17.100504
14.0,14,17.117341
25.0,25,17.132143
19.0,19,17.154183
15.0,15,17.16596
29.0,29,17.181762
15.0,15,17.195631
26.0,26,17.215477
15.0,15,17.223487
10.0,10,17.229239
24.0,24,17.242891
21.0,21,17.268944
13.0,13,17.268944
12.0,12,17.28426
28.0,28,17.303627
14.0,14,17.315387
12.0,12,17.333059
48.0,48,17.362515
24.0,24,17.378014
17.0,17,17.393404
10.0,10,17.393404
9.0,9,17.409088
13.0,13,17.417118
16.0,16,17.425181
12.0,12,17.425181
11.0,11,17.447185
11.0,11,17.45119
11.0,11,17.464335
12.0,12,17.470344
14.0,14,17.480358
12.0,12,17.487849
22.0,22,17.503616
14.0,14,17.505619
19.0,19,17.522794
18.0,18,17.539953
11.0,11,17.559269
